//Index		Message
389 "נקודות MvP: %d"
390 "מחובר למזבח %d"
391 "%s מחובר למזבח %d"
392 "מזבח מחובר %d"
393 "תקופת החיבור למדורה %d עדיין לא החלה"
394 "המזבח %d כבר מחובר יותר מ-2 פעמים"
395 "המקום להתחבר למזבח %d אינו נכון"
396 "%s מנסה להתחבר למזבח %d"
397 "תתחבר למזבח בעוד 5 שניות"
398 "אל תזוז עד שהחיבור הושלם"
399 "חיבור למזבח %d בוטל"
400 "התמונה של מצבת זה מסתירה נעלמה"
401 "מספר החיבורים: %d, מצבת חיים: %d"
402 "מצבת הזאב הקדושה נוצרה"
403 "החיבור מחייב רמה 260 או יותר"
416 "מבצר הזעזוע הסתיים"
417 "התחילה תקופת הרשמה למבצר הזעזוע"
418 "התחילה תקופת הרשמה לתמלילי המבצר הזעזוע"
419 "התחילה תקופת בחירת הגילדות למבצר הזעזוע"
420 "הסתיימה בחירת הגילדות למבצר הזעזוע"
421 "התחילה תקופת ההכנה למבצר הזעזוע"
422 "מבצר הזעזוע יתחיל בעוד %d דקות"
423 "המבצר הזעזוע מתבצע"
424 "הגילדה %s הצליחה להגן על המבצר"
425 "הגילדה %s הפכה לבעלים החדש של המבצר"
426 "בעלים של המבצר לא נקבע"
427 "נותרה רק מצבת המגן"
432 "המשתמש %s שינה את תפקידו לעוזר ראש גילדה"
433 "המשתמש %s שינה את תפקידו למאסטר קרב"
434 "המשתמש %s שינה את תפקידו לחבר גילדה"
435 "סוג הגילדה %s שונה ל- %d"
436 "הגילדה הצטרפה לברית %s"
437 "הגילדה כעת אויבה של הגילדה %s"
438 "הגילדה %s הצטרפה לברית %s"
439 "הגילדה נפרדה מהברית"
440 "הגילדה %s נפרדה מהברית %s"
441 "הגילדה כבר לא בברית עם %s"
442 "הגילדה כבר לא אויבה לגילדה %s"
443 "הברית בוטלה %s"
448 "אתה לא יכול לקרוא לאבן החיים מחוץ למבצר הזעזוע"
449 "רק ברית התקפה יכולה לקרוא לאבן החיים"
450 "אבן החיים הוזכרה בהצלחה"
451 "אתה לא יכול לקרוא לאבן החיים בתוך המגדל הדרקוני"
452 "אבן החיים הוזכרה בהצלחה"
453 "אבן החיים נכשלה להיות קוראת"
464 "אתה לא יכול לקרוא לחייל מחוץ למבצר הזעזוע"
465 "רק ברית הגנה יכולה לקרוא לחייל"
466 "רק מנהיג הגילדה ועוזרו יכולים לקרוא לחייל"
467 "נעבר את מספר החיילים המרבי"
468 "החייל קורא בהצלחה"
469 "החייל נכשל להיות קורא"
480 "השרת נסגר"
481 "השרת ייסגר אוטומטית בעוד %d שניות"
482 "זהו פריט כפול, אנא צור קשר עם המנהל"
483 "ההשעייה שלך הסתיימה"
484 "תיצא מהמשחק בעוד %d שניות"
485 "ההגנה האישית נגד %s התחילה"
486 "ההגנה האישית נגד %s הסתיימה"
487 "השרת ייסגר אוטומטית בעוד דקה אחת"
488 "השרת ייסגר אוטומטית בעוד 3 דקות"
489 "השרת ייסגר אוטומטית בעוד 5 דקות"
490 "המשחק יתחיל באופן אוטומטי בעוד 10 שניות"
491 "%s ניצחו את %d אבן הברכה"
492 "%s הרוג את הפיניקס"
493 "אתה ניצחת %d נקודות את האירוע ו %d זהב"
494 "%s הרוג את הזהב"
495 "אתה ניצחת %d נקודות את האירוע ו %d זהב"
496 "%s הרוג את ארוהין"
497 "אתה ניצחת %d נקודות את האירוע ו %d זהב"
498 " "
499 "הסר את הארטלים לפני ההצבה"
500 "[מלך המו] האירוע מתחיל"
501 "[מלך המו] האירוע הסתיים"
502 "[מלך המו] מתחיל בעוד %d דקות"
503 "[מלך המו] גילדה %s תפסה את המבצר!"
504 "[מלך המו] מתחיל בעוד %d שניות"
505 " "
506 "אתה לא חבר בגילדה!"
507 "הגילדה שלך כבר בבעלות המבצר!"
508 "אתה לא בקואורדינטות הנכונות!"
509 "הגילדה שלך צריכה להכיל לפחות %d חברים!"
510 "מזל טוב! הגילדה שלך כעת בבעלות המבצר!"
511 "[מלך המו] נגמר בעוד %d דקות!"
512 " "
513 "ניקיון התיק בוצע בהצלחה!"
514 "פרוייקט קיצוני"
515 "%s הרוג את %s"
516 "%s הרוג את %s"
517 " "
518 "אינך רשאי להשתמש ב-/setvip"
519 "הפרימיום נוסף בהצלחה!"
520 "חשבון זה אינו קיים!"
521 "%s אתה לא זקוק לעזרתי יותר."
522 "%s התוכנית הפרימיאום שלך אינה מאפשרת שימוש בזהות זו"
523 "%s זן נדרש: %d"
524 "%s נדרשים %d PCPoints"
525 "%s אתה צריך להיות חלק מצוות ואנרט."
526 "%s אתה צריך להיות חלק מצוות דופריאן."
527 "%s אתה צריך להיות חלק מצוות דופריאן."
528 "%s אתה צריך להיות חלק מצוות ואנרט."
529 "%s נקודות משפחה דרושות: %d"
530 "%s זמן: %d דקות"
531 "%s הוסרו %d זן"
532 "%s הוסרו %d PCPoint(s)"
533 "%s האשם הופעל!"
602 "אתה לא יכול להתחתן עם עצמך!"
603 "התחתנת עם %s!"
604 "אתה כבר נשוי!"
605 "הדמות השנייה כבר נשויה!"
606 "שימוש: [/marry to שם | /marry divorce | /marry track or trace]!"
607 "אתה לא יכול להתגרש בשבוע הראשון של הנישואים!"
608 "התגרשת מ %s!"
609 "אתה לא נשוי!"
610 "נעקבת!"
611 "התבררה!"
612 "%s התחתן לפני %s!"
613 "%s התגרש מ %s!"
614 "[מערכת נישואים] מזל טוב,"
615 "בין %s ל- %s!"
616 "[מערכת נישואים] אין נישואים גאים"
617 "אתה צריך להיות ברמה %d לשימוש בפקודה זו!"
618 "הוא/היא צריכה להיות ברמה %d לשימוש בפקודה זו!"
619 "המערכת נישואים מנוטרלת!"
620 "אתה צריך להיות ברמה %d זן לשימוש בפקודה זו!"
621 "אתה צריך להיות במקום הנכון ב-Devias2!"
622 "היעד שלך צריך להיות במקום הנכון ב-Devias2!"
623 "מידע: [רמה מינימלית : %d | עלות נישואים : %d זן]!"
624 "אתה לא יכול להתגרש כאשר הוא/היא מנותק/ת!"
625 "הדמות השנייה מנותקת!"
626 "ניתן עור מספר %d ל- %d שחקנים!"
627 "[מערכת] %s מנותק!"
628 " %s ענה ב-[%s]"
629 " "
630 "אתה חייב להיות ברמה %d לשימוש בפקודה זו!"
631 "מותר להשתמש רק בתוך העיר!"
632 "אתה והיריב שלך חייבים להיות ברמה %d על מנת לערוץ!"
633 "פקודה לא מאופשרת עבור החשבון שלך!"
634 "פקודה: [/class dw, dk, elf, mg, dl, su, rf]"
635 "אתה חייב לבחור כיתה שונה מהשלך!"
636 "אתה חייב להסיר את הפריטים מהדמות תחילה!"
637 "הכיתה אינה זמינה!"
638 "הינך צריך %d ריסטים!"
639 "/GameMaster/ %s מחובר!"
640 "%s ברוך שובך!"
641 "אין לך רשות להשתמש!"
642 "הדמות לא נמצאה!"
643 "פקודה: [/premiar CHAR TYPE VALUE]"
644 "סוג הפרס אינו זמין!"
645 "הערך הפרימיום גדול מדי!"
646 "נוסף בהצלחה!"
647 "אתה לא יכול לתת פרס לעצמך!"
648 "פקודה: [/reload type | למשל: /reload common]"
649 "טעינה בוצעה בהצלחה!"
650 "פקודה: [/premiarall VALUE TYPE]"
651 "השם חייב להיות מרובע ב-10 אותיות."
652 "השם הזה כבר קיים."
653 "אנא המתן %d שניות לשימוש חוזר."
654 "השם הזה כבר קיים!"
655 "שינוי השם בוצע בהצלחה!"
656 "השם לא השתנה!"
657 "הדמות %s שינה את השם ל- %s!"
658 "עליך לצאת מהגילדה כדי לשנות שם."
659 "אתה לא יכול להשתמש בזה כעת."
660 "[VELOZ] מתחיל ב-%s!"
661 "[VELOZ] האירוע מסתיים בעוד %d דקות!"
662 "[VELOZ] האירוע מסתיים בעוד %d שניות!"
663 "[VELOZ] המנצח/ת הוא/ה %s!"
664 "[VELOZ] סוף האירוע - אין מנצח/ת!"
665 "[VELOZ] רוץ לצינור x%d y%d"
666 "[VELOZ] סוף האירוע - האירוע בוטל!"
667 "הדמות לא נמצאת או מנותקת!"
668 "החשבון נחסם בהצלחה!"
669 "הדמות נחסמה בהצלחה!"
670 "[EVENTO] סוגר בעוד %d שניות"
671 "[EVENTO] זמן ההגעה נגמר!"
672 "[EVENTO] בוטל!"
673 "[EVENTO] %s התחיל/ה אירוע!"
674 "[EVENTO] /participar כדי להיכנס!"
675 "[EVENTO] המשתתף/ת %s נוסף/ת!"
676 "[ESCESC] סוף בעוד %d שניות"
677 "[ESCESC] אין מנצח/ת!"
678 "[ESCESC] בוטל!"
679 "[ESCESC] %s התחיל את האירוע!"
680 "[ESCESC] תחפש/י את ה-GM ותסחור!"
681 "[ESCESC] %s ניצח/ה את האירוע!"
682 "[ESCESC] האירוע מסתיים בעוד %d דקות!"
683 "[PEGAPEGA] סגור!"
684 "[PEGAPEGA] האירוע החל. ריצה נדחתה!"
685 "[PEGAPEGA] הזמן נגמר!"
686 "[PEGAPEGA] בוטל!"
687 "[PEGAPEGA] נפתח!"
688 "[PEGAPEGA] /queroir כדי להיכנס!"
689 "[PEGAPEGA] המשתתף/ת %s נוסף/ת!"
690 "[PEGAPEGA] %s ניצח/ה את האירוע!"
691 "[PEGAPEGA] %s נתפס/ת!"
692 "[QUEST %d] עליך להיות ברמה %d או +!"
693 "[QUEST %d] עליך לצפות ב-%d ריסט/ים או +!"
694 "[QUEST %d] עליך לצפות ב-%d ריסט מאסטר או +!"
695 "[QUEST %d] עליך להיות עם %d זן או +!"
696 "[QUEST %d] עליך ללכת ל-%s (x%d,y%d)!"
697 "[QUEST %d] אין לך את התוכנית VIP המתאימה!"
698 "[QUEST %d] נדרש פריט: %s!"
699 "[QUEST %d] עליך להרוג %d %s (חסר: %d)!"
700 "[משימה] מזל טוב, השלמת את כל המשימות!"
701 "[משימה %d] הושלם! אתה זוכה: %d WC, %d WCP, %d GP!"
702 "מזל טוב, קיבלת מתנה!"
703 "כבר קיבלת את כל המתנות שלך!"
704 "[RussianRoulette] סגור!"
705 "[RussianRoulette] האירוע החל!"
706 "[RussianRoulette] זמן תום!"
707 "[RussianRoulette] בוטל!"
708 "[RussianRoulette] פתוח (מספר משתתפים מרבי: %d)!"
709 "[RussianRoulette] /queroir להשתתף!"
710 "[RussianRoulette] משתתף %d: %s נוסף!"
711 "[RussianRoulette] %s זוכה באירוע!"
712 "[RussianRoulette] מכניס כדור למקלע...!"
713 "[RussianRoulette] מסתובב את המקלע...!"
714 "[RussianRoulette] משחק...!"
715 "[RussianRoulette] אש!"
716 "[RussianRoulette] המשתמש %s נושא פגע"
717 "[RussianRoulette] %s פונה בשלום!"
718 "[מלך המו] מסירת פרסים!!!!"
719 "[מלך המו] הגילדה %s זוכה באירוע!"
720 "[מלך המו] זמן תרומה: %d דקות!"
721 "[מלך המו] כל חברי הגילדה המחוברים זוכים:"
722 "[מלך המו] 10 כסף!!!"
723 "[מלך המו] הדמויות שזכו הכי הרבה:"
724 "[מלך המו] %d�: %s (גילדה: %s)!"
725 "[מלך המו] הם רווים 10 כסף כל אחד!"
726 "[מלך המו] לא היה זוכה!"
730 "[BC] אתה זוכה: %d WC, %d WP, %d GP!"
731 "[CC] אתה זוכה: %d WC, %d WP, %d GP!"
732 "[DS] אתה זוכה: %d WC, %d WP, %d GP!"
733 "פקודה: [/top type class | לדוגמה: /top rr dw]"
734 "פקודה: [קלאס: dk,dw,fe,mg,dl,su,rf]"
735 "אין תוצאות!"
736 "%d מקום: %s (%d)"
737 "נקודות מחדש"
738 "%s הגיע לפטנט %s!"
739 "הגעת לפטנט %s!"
740 "התיכון ביטל =("
741 "עליך להיות לך %d פריטים מאותו סוג בתיק"
742 "תודה רבה, אני כבר לקחתי את הפריטים והצגתי את הפרס שלך."
743 "סליחה, אין לי עניין באלה."
744 "החלפת את הפריטים שלך בפרסים!"
745 "[ %s] מתחיל בעוד %d דקות!"
746 "[ %s] שאלה: (השתמש /resp כדי לענות)"
747 "[ %s] %s"
748 "[ %s] %s האירוע פג"
749 "[ %s] לא היה זוכה!"
750 "[ %s] תשובה שגויה!"
751 "[ %s] תשובה: %s"
752 "[PickUp %s] פעיל!"
753 "[PickUp %s] מבוטל!"
754 "[PickUp] מבוטל!"
755 "[ReMaster] איפוס MasterSkillTree!"
756 "[ReMaster] שגיאה באיפוס MasterSkillTree!"
757 "[BuyVip] אין לך את הערך הנדרש לקנות!"
758 "[BuyVip] ההרשמה התבצעה כ %s! תודה על התמיכה!"
759 "[BuyVip] התוכנית שנבחרה נמוכה מהתוכנית הנוכחית שלך!"
760 "מחוסר %d WC מהחשבון שלך!"
761 "מחוסר %d WP מהחשבון שלך!"
762 "מחוסר %d GP מהחשבון שלך!"
763 "אתה לא יכול להשתמש בהתקפה מותאמת אישית עם Mu Helper פעיל!"
764 "אתה לא יכול להשתמש ב־MuHelper עם התקפה מותאמת אישית פעילה!"
765 "לא ניתן להשתמש ברמה מעל: %d"
766 "ערך לשימוש: %d WC!"
767 "ערך לשימוש: %d WP!"
768 "ערך לשימוש: %d GP!"
769 "צוות אלפא זוכה באירוע!"
770 "צוות ביטא זוכה באירוע!"
771 "[OffPvp] פתח"
772 "[OffPvp] סגור"
773 "[Lock] הופעל! הסיסמה הוגדרה בהצלחה!"
774 "[Lock] הסיסמה חייבת להכיל מקסימום 8 תווים!"
775 "[Lock] התיק כבר נעול, השתמש בפקודה /unlock כדי לשחרר!"
776 "[Lock] בוטל!"
777 "[Lock] סיסמה לא תקינה!"
778 "[Lock] פעולה נחסמה על ידי הסיסמה!"
779 "ניתן לפתוח חנות פרטית רק באזור בטוח. (מומלץ להמקם בעיר מסוימת.)"
780 "הזן מחירי פריטים מחדש כדי להשתמש בחנות אישית."
781 "שים לב! כל הפריטים בחנות זו נמכרים בעבור Jewel of Bless"
782 "שים לב! כל הפריטים בחנות זו נמכרים בעבור Jewel of Soul"
783 "שים לב! כל הפריטים בחנות זו נמכרים בעבור Jewel of Chaos"
784 "שים לב! כל הפריטים בחנות זו נמכרים בעבור WCoinC"
785 "שים לב! כל הפריטים בחנות זו נמכרים בעבור WCoinP"
786 "שים לב! כל הפריטים בחנות זו נמכרים בעבור Goblin Point"
787 "עליך לפתוח את החנות האישית תחילה"
788 "הפקודה תופעל במשך %d דקות"
789 "זמן הפעלת החנות הסתיים"
790 "[Attack] כבוי"
791 "[Attack] אין אפשרות להשתמש במיקום זה"
792 "[Attack] אין לך את הכישור הנדרש לשימוש"
793 "[Attack] זמן שימוש: %d דקות"
794 "[Attack] הזמן נגמר"
795 "[Attack] פעיל"
796 "[OffAttack] עליך לאפשר את הפקודה /attack תחילה"
797 "[OffAttack] אין אפשרות להשתמש באפשרות ה־Off-exp במקום זה"
798 "הגילדה הזו אינה קיימת!"
799 "[PvP] זמן הסתיים!"
800 "[PvP] בוטל!"
801 "[PvP] %s x %s התחיל!"
802 "[PvP] %s %d x %d %s!"
803 "[PvP] %s זכה באירוע!"
804 "[PvP] התחיל!"
805 "[MataMata] נסגר!"
806 "[MataMata] האירוע החל!"
807 "[MataMata] זמן תם!"
808 "[MataMata] בוטל!"
809 "[MataMata] פתוח (מקסימום שחקנים: %d)!"
810 "[MataMata] /queroir להשתתף!"
811 "[MataMata] שחקן %d: %s התווסף!"
812 "[MataMata] 1º - %s (%d נקודות)!"
813 "[MataMata] 2º - %s (%d נקודות)!"
814 "[MataMata] 3º - %s (%d נקודות)!"
815 "[MataMata] המקום שלך: %dº (%d נקודות)!"
816 "[MataMata] תוצאה: %d נקודות!"
817 "השם החדש מכיל טקסט שאסור!"
818 "נדרש: %d איפוס מאסטר (ים)."
819 "אסור עם %d או יותר איפוס מאסטר!"
820 "פקודה: [/pack (רוח, ברכה, וכו ') (10,20,30)]"
821 "פקודה: [/unpack (רוח, ברכה, וכו ') (10,20,30)]"
